Value,_name,_oid,_valueType
5,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
5,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
2,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.3.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
-600,.1.3.6.1.4.1.17409.1.1.3.1.3.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.3.1.3.11.1.3.6.1.4.1.17409.1.11.2.0,Integer
-600,.1.3.6.1.4.1.17409.1.1.3.1.3.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.3.1.3.11.1.3.6.1.4.1.17409.1.11.3.0,Integer
1,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
0,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
0,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
0,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
0,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.3.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
11,.1.3.6.1.4.1.17409.1.2.1.0,.1.3.6.1.4.1.17409.1.2.1.0,Integer
11,.1.3.6.1.4.1.17409.1.2.2.0,.1.3.6.1.4.1.17409.1.2.2.0,Integer
1,.1.3.6.1.4.1.17409.1.2.3.1.1.1,.1.3.6.1.4.1.17409.1.2.3.1.1.1,Integer
2,.1.3.6.1.4.1.17409.1.2.3.1.1.2,.1.3.6.1.4.1.17409.1.2.3.1.1.2,Integer
3,.1.3.6.1.4.1.17409.1.2.3.1.1.3,.1.3.6.1.4.1.17409.1.2.3.1.1.3,Integer
4,.1.3.6.1.4.1.17409.1.2.3.1.1.4,.1.3.6.1.4.1.17409.1.2.3.1.1.4,Integer
5,.1.3.6.1.4.1.17409.1.2.3.1.1.5,.1.3.6.1.4.1.17409.1.2.3.1.1.5,Integer
6,.1.3.6.1.4.1.17409.1.2.3.1.1.6,.1.3.6.1.4.1.17409.1.2.3.1.1.6,Integer
7,.1.3.6.1.4.1.17409.1.2.3.1.1.7,.1.3.6.1.4.1.17409.1.2.3.1.1.7,Integer
8,.1.3.6.1.4.1.17409.1.2.3.1.1.8,.1.3.6.1.4.1.17409.1.2.3.1.1.8,Integer
9,.1.3.6.1.4.1.17409.1.2.3.1.1.9,.1.3.6.1.4.1.17409.1.2.3.1.1.9,Integer
10,.1.3.6.1.4.1.17409.1.2.3.1.1.10,.1.3.6.1.4.1.17409.1.2.3.1.1.10,Integer
11,.1.3.6.1.4.1.17409.1.2.3.1.1.11,.1.3.6.1.4.1.17409.1.2.3.1.1.11,Integer
0x00 00 00 05 05 08 06 0C 2B 06 01 04 01 81 88 01 01 0B 02 00 02 02 FD A8,.1.3.6.1.4.1.17409.1.2.3.1.2.1,.1.3.6.1.4.1.17409.1.2.3.1.2.1,OctetString
0x00 00 00 05 02 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 04 01 02 02 02 02 30 0C,.1.3.6.1.4.1.17409.1.2.3.1.2.2,.1.3.6.1.4.1.17409.1.2.3.1.2.2,OctetString
0x00 00 00 05 02 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 04 01 02 03 02 02 30 0C,.1.3.6.1.4.1.17409.1.2.3.1.2.3,.1.3.6.1.4.1.17409.1.2.3.1.2.3,OctetString
0x00 00 00 07 05 08 06 0C 2B 06 01 04 01 81 88 01 01 0B 03 00 02 02 FD A8,.1.3.6.1.4.1.17409.1.2.3.1.2.4,.1.3.6.1.4.1.17409.1.2.3.1.2.4,OctetString
0x00 00 00 07 05 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 04 01 02 01 02 01 01,.1.3.6.1.4.1.17409.1.2.3.1.2.5,.1.3.6.1.4.1.17409.1.2.3.1.2.5,OctetString
0x00 00 00 07 05 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 04 01 02 02 02 01 00,.1.3.6.1.4.1.17409.1.2.3.1.2.6,.1.3.6.1.4.1.17409.1.2.3.1.2.6,OctetString
0x00 00 00 07 05 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 04 01 02 03 02 01 00,.1.3.6.1.4.1.17409.1.2.3.1.2.7,.1.3.6.1.4.1.17409.1.2.3.1.2.7,OctetString
0x00 00 00 07 05 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 07 01 02 05 02 01 00,.1.3.6.1.4.1.17409.1.2.3.1.2.8,.1.3.6.1.4.1.17409.1.2.3.1.2.8,OctetString
0x00 00 00 07 02 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 07 01 02 07 02 01 00,.1.3.6.1.4.1.17409.1.2.3.1.2.9,.1.3.6.1.4.1.17409.1.2.3.1.2.9,OctetString
0x00 06 66 55 04 18 06 0E 2B 06 01 04 01 81 88 01 01 0B 07 01 02 03 02 01 1E,.1.3.6.1.4.1.17409.1.2.3.1.2.10,.1.3.6.1.4.1.17409.1.2.3.1.2.10,OctetString
0x00 06 66 76 01 08 06 0E 2B 06 01 04 01 81 88 01 01 0B 07 01 02 03 02 01 21,.1.3.6.1.4.1.17409.1.2.3.1.2.11,.1.3.6.1.4.1.17409.1.2.3.1.2.11,OctetString
   ,.1.3.6.1.4.1.17409.1.3.1.1.0,.1.3.6.1.4.1.17409.1.3.1.1.0,OctetString
SNMPAgent,.1.3.6.1.4.1.17409.1.3.1.2.0,.1.3.6.1.4.1.17409.1.3.1.2.0,OctetString
HFC-SNMP-OA,.1.3.6.1.4.1.17409.1.3.1.3.0,.1.3.6.1.4.1.17409.1.3.1.3.0,OctetString
20140628175,.1.3.6.1.4.1.17409.1.3.1.4.0,.1.3.6.1.4.1.17409.1.3.1.4.0,OctetString
ADVANCED AGENT,.1.3.6.1.4.1.17409.1.3.1.5.0,.1.3.6.1.4.1.17409.1.3.1.5.0,OctetString
0x08,.1.3.6.1.4.1.17409.1.3.1.6.0,.1.3.6.1.4.1.17409.1.3.1.6.0,OctetString
1,.1.3.6.1.4.1.17409.1.3.1.7.0,.1.3.6.1.4.1.17409.1.3.1.7.0,Integer
2,.1.3.6.1.4.1.17409.1.3.1.8.0,.1.3.6.1.4.1.17409.1.3.1.8.0,Integer
10.100.0.102,.1.3.6.1.4.1.17409.1.3.1.9.0,.1.3.6.1.4.1.17409.1.3.1.9.0,IpAddress
10,.1.3.6.1.4.1.17409.1.3.1.10.0,.1.3.6.1.4.1.17409.1.3.1.10.0,Integer
PUBLIC,.1.3.6.1.4.1.17409.1.3.1.11.0,.1.3.6.1.4.1.17409.1.3.1.11.0,OctetString
1,.1.3.6.1.4.1.17409.1.3.1.12.0,.1.3.6.1.4.1.17409.1.3.1.12.0,Integer
26,.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.3.1.13.0,Integer
1289847,.1.3.6.1.4.1.17409.1.3.1.14.0,.1.3.6.1.4.1.17409.1.3.1.14.0,Integer
25,.1.3.6.1.4.1.17409.1.3.1.15.0,.1.3.6.1.4.1.17409.1.3.1.15.0,Integer
2,.1.3.6.1.4.1.17409.1.3.1.16.0,.1.3.6.1.4.1.17409.1.3.1.16.0,Integer
2,.1.3.6.1.4.1.17409.1.3.1.17.0,.1.3.6.1.4.1.17409.1.3.1.17.0,Integer
.1.3.6.1.4.1.17409.1.11,.1.3.6.1.4.1.17409.1.3.1.18.0,.1.3.6.1.4.1.17409.1.3.1.18.0,OID
NULL,.1.3.6.1.4.1.17409.1.3.1.19.0,.1.3.6.1.4.1.17409.1.3.1.19.0,OctetString
00-B9-A0-12-05-D3,.1.3.6.1.4.1.17409.1.3.2.1.1.1.0,.1.3.6.1.4.1.17409.1.3.2.1.1.1.0,OctetString
1,.1.3.6.1.4.1.17409.1.3.3.1.1.0,.1.3.6.1.4.1.17409.1.3.3.1.1.0,Integer
1,.1.3.6.1.4.1.17409.1.3.3.1.2.0,.1.3.6.1.4.1.17409.1.3.3.1.2.0,Integer
0,.1.3.6.1.4.1.17409.1.3.3.1.3.0,.1.3.6.1.4.1.17409.1.3.3.1.3.0,Integer
5,.1.3.6.1.4.1.17409.1.3.3.1.4.0,.1.3.6.1.4.1.17409.1.3.3.1.4.0,Integer
10,.1.3.6.1.4.1.17409.1.3.3.1.5.0,.1.3.6.1.4.1.17409.1.3.3.1.5.0,Integer
,.1.3.6.1.4.1.17409.1.3.3.1.6.0,.1.3.6.1.4.1.17409.1.3.3.1.6.0,OctetString
1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.1,Integer
2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.2,Integer
3,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.3,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.3,Integer
4,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.4,.1.3.6.1.4.1.17409.1.3.3.1.7.1.1.4,Integer
192.168.1.200,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.1,IpAddress
192.168.1.201,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.2,IpAddress
255.255.255.255,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.3,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.3,IpAddress
0.0.0.0,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.4,.1.3.6.1.4.1.17409.1.3.3.1.7.1.2.4,IpAddress
PUBLIC,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.1,OctetString
PUBLIC,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.2,OctetString
PUBLIC,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.3,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.3,OctetString
PUBLIC,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.4,.1.3.6.1.4.1.17409.1.3.3.1.7.1.3.4,OctetString
1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.1,Integer
1,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.2,Integer
2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.3,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.3,Integer
2,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.4,.1.3.6.1.4.1.17409.1.3.3.1.7.1.4.4,Integer
1,.1.3.6.1.4.1.17409.1.3.3.2.1.0,.1.3.6.1.4.1.17409.1.3.3.2.1.0,Integer
1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.1.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.1.1,Integer
NULL,.1.3.6.1.4.1.17409.1.3.3.2.2.1.2.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.2.1,OctetString
SNMPAgent,.1.3.6.1.4.1.17409.1.3.3.2.2.1.3.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.3.1,OctetString
HFC-SNMP-OA,.1.3.6.1.4.1.17409.1.3.3.2.2.1.4.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.4.1,OctetString
20140628175,.1.3.6.1.4.1.17409.1.3.3.2.2.1.5.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.5.1,OctetString
ADVANCED AGENT,.1.3.6.1.4.1.17409.1.3.3.2.2.1.6.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.6.1,OctetString
0x08,.1.3.6.1.4.1.17409.1.3.3.2.2.1.7.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.7.1,OctetString
1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.8.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.8.1,Integer
2,.1.3.6.1.4.1.17409.1.3.3.2.2.1.9.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.9.1,Integer
00-B9-A0-12-05-D3,.1.3.6.1.4.1.17409.1.3.3.2.2.1.10.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.10.1,OctetString
1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.11.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.11.1,Integer
22,.1.3.6.1.4.1.17409.1.3.3.2.2.1.12.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.12.1,Integer
2,.1.3.6.1.4.1.17409.1.3.3.2.2.1.13.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.13.1,Integer
2,.1.3.6.1.4.1.17409.1.3.3.2.2.1.14.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.14.1,Integer
.1.3.6.1.4.1.17409.1.11,.1.3.6.1.4.1.17409.1.3.3.2.2.1.15.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.15.1,OID
1289847,.1.3.6.1.4.1.17409.1.3.3.2.2.1.16.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.16.1,Counter32
  ,.1.3.6.1.4.1.17409.1.3.3.2.2.1.17.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.17.1,OctetString
Jul  4 2014,.1.3.6.1.4.1.17409.1.3.3.2.2.1.18.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.18.1,OctetString
Build 10:38:25,.1.3.6.1.4.1.17409.1.3.3.2.2.1.19.1,.1.3.6.1.4.1.17409.1.3.3.2.2.1.19.1,OctetString
.1.3.6.1.4.1.17409.1.11,.1.3.6.1.4.1.17409.1.11.1.0,.1.3.6.1.4.1.17409.1.11.1.0,OID
-600,.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.11.2.0,Integer
-600,.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.11.3.0,Integer
1,.1.3.6.1.4.1.17409.1.11.4.1.1.1,.1.3.6.1.4.1.17409.1.11.4.1.1.1,Integer
2,.1.3.6.1.4.1.17409.1.11.4.1.1.2,.1.3.6.1.4.1.17409.1.11.4.1.1.2,Integer
3,.1.3.6.1.4.1.17409.1.11.4.1.1.3,.1.3.6.1.4.1.17409.1.11.4.1.1.3,Integer
1,.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.11.4.1.3.1,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.11.4.1.3.2,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.11.4.1.3.3,Integer
259,.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.11.4.1.4.1,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.11.4.1.4.2,Integer
0,.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.11.4.1.4.3,Integer
8,.1.3.6.1.4.1.17409.1.11.5.0,.1.3.6.1.4.1.17409.1.11.5.0,Integer
1,.1.3.6.1.4.1.17409.1.11.6.0,.1.3.6.1.4.1.17409.1.11.6.0,Integer
1,.1.3.6.1.4.1.17409.1.11.7.1.1.1,.1.3.6.1.4.1.17409.1.11.7.1.1.1,Integer
2,.1.3.6.1.4.1.17409.1.11.7.1.1.2,.1.3.6.1.4.1.17409.1.11.7.1.1.2,Integer
3,.1.3.6.1.4.1.17409.1.11.7.1.1.3,.1.3.6.1.4.1.17409.1.11.7.1.1.3,Integer
4,.1.3.6.1.4.1.17409.1.11.7.1.1.4,.1.3.6.1.4.1.17409.1.11.7.1.1.4,Integer
5,.1.3.6.1.4.1.17409.1.11.7.1.1.5,.1.3.6.1.4.1.17409.1.11.7.1.1.5,Integer
6,.1.3.6.1.4.1.17409.1.11.7.1.1.6,.1.3.6.1.4.1.17409.1.11.7.1.1.6,Integer
7,.1.3.6.1.4.1.17409.1.11.7.1.1.7,.1.3.6.1.4.1.17409.1.11.7.1.1.7,Integer
8,.1.3.6.1.4.1.17409.1.11.7.1.1.8,.1.3.6.1.4.1.17409.1.11.7.1.1.8,Integer
49,.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.11.7.1.2.1,Integer
-49,.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.11.7.1.2.2,Integer
32,.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.11.7.1.2.3,Integer
135,.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.11.7.1.2.4,Integer
0,.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
47,.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.11.7.1.2.6,Integer
0,.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
-46,.1.3.6.1.4.1.17409.1.11.7.1.2.8,.1.3.6.1.4.1.17409.1.11.7.1.2.8,Integer
DC +5V,.1.3.6.1.4.1.17409.1.11.7.1.4.1,.1.3.6.1.4.1.17409.1.11.7.1.4.1,OctetString
DC -5V,.1.3.6.1.4.1.17409.1.11.7.1.4.2,.1.3.6.1.4.1.17409.1.11.7.1.4.2,OctetString
DC +3.3V,.1.3.6.1.4.1.17409.1.11.7.1.4.3,.1.3.6.1.4.1.17409.1.11.7.1.4.3,OctetString
DC +12V,.1.3.6.1.4.1.17409.1.11.7.1.4.4,.1.3.6.1.4.1.17409.1.11.7.1.4.4,OctetString
LEFT +5V,.1.3.6.1.4.1.17409.1.11.7.1.4.5,.1.3.6.1.4.1.17409.1.11.7.1.4.5,OctetString
RIGHT +5V,.1.3.6.1.4.1.17409.1.11.7.1.4.6,.1.3.6.1.4.1.17409.1.11.7.1.4.6,OctetString
LEFT -5V,.1.3.6.1.4.1.17409.1.11.7.1.4.7,.1.3.6.1.4.1.17409.1.11.7.1.4.7,OctetString
RIGHT -5V,.1.3.6.1.4.1.17409.1.11.7.1.4.8,.1.3.6.1.4.1.17409.1.11.7.1.4.8,OctetString
10.100.0.102,.1.3.6.1.4.1.17409.1.90.7.1.1.0,.1.3.6.1.4.1.17409.1.90.7.1.1.0,IpAddress
16,.1.3.6.1.4.1.17409.1.90.7.1.2.0,.1.3.6.1.4.1.17409.1.90.7.1.2.0,Integer
10.100.0.1,.1.3.6.1.4.1.17409.1.90.7.1.3.0,.1.3.6.1.4.1.17409.1.90.7.1.3.0,IpAddress
1.1.1.1,.1.3.6.1.4.1.17409.1.90.7.1.4.0,.1.3.6.1.4.1.17409.1.90.7.1.4.0,IpAddress
00-B9-A0-12-05-D3,.1.3.6.1.4.1.17409.1.90.7.1.5.0,.1.3.6.1.4.1.17409.1.90.7.1.5.0,OctetString
1,.1.3.6.1.4.1.17409.1.90.7.2.1.0,.1.3.6.1.4.1.17409.1.90.7.2.1.0,Integer
1289847,.1.3.6.1.4.1.17409.1.90.7.4.2.0,.1.3.6.1.4.1.17409.1.90.7.4.2.0,Integer
